descricao,tipo_produto,qt_rolos,metros_por_rolo,quantidade_base,qt_vidros,litros_por_vidro,preco_custo,preco_venda,estoque_minimo,observacao
PAPEL TUCANO,PAPEL,11,500,,,,0,0,0,
PAPEL TEXPRINT,PAPEL,29,300,,,,0,0,0,
PAPEL OXSTAMP,PAPEL,6,200,,,,0,0,0,
PAPEL ART 500M,PAPEL,3,500,,,,0,0,0,
PAPEL KRAFT,PAPEL,7,500,,,,0,0,0,
PAPEL ART 1000M,PAPEL,1,1000,,,,0,0,0,
PAPEL HIGHTECH,PAPEL,2,300,,,,0,0,0,
PAPEL ART 300M,PAPEL,3,300,,,,0,0,0,
TACTEL - ALEXANDRE,TECIDO,,,600,,,0,0,0,
TACTEL - LITORAL,TECIDO,,,1090,,,0,0,0,
TACTEL - VIPAL,TECIDO,,,401,,,0,0,0,
MALHA - TEXNEO,TECIDO,,,50,,,0,0,0,
FIO NAUTICO BRANCO,AVIAMENTO,,,19,,,0,0,0,Largura 5mm
FIO NAUTICO PRETO,AVIAMENTO,,,12,,,0,0,0,Largura 5mm
CADARCO SARJADO 14MM,AVIAMENTO,29,100,,,,0,0,0,
CADARCO ALVEJADO 20MM,AVIAMENTO,37,25,,,,0,0,0,
LINHA BRANCA ALTA ROTACAO,AVIAMENTO,,,22,,,0,0,0,20.000 P/ROLO
LINHA PRETA,AVIAMENTO,,,18,,,0,0,0,10.000 M P/ROLO
FIO BRANCO OVERLOCK 500G,AVIAMENTO,,,40,,,0,0,0,
FIO PRETO OVERLOCK 500G,AVIAMENTO,,,12,,,0,0,0,
ELASTICO JARAGUA 10,AVIAMENTO,51,100,,,,0,0,0,
